[Terrain]
datatype	ground_area_text_storage	version	1.0.0
# ground size in meter
width	20000
length	20000
# array size
array_width	200
array_length	200
#positionX	positionY	Altitude
0	0	ground	4000
1	0	water	-10000
2	0	water	-10000
3	0	water	-10000
4	0	water	-10000
5	0	water	-10000
6	0	water	-10000
7	0	water	-10000
8	0	water	-10000
9	0	water	-10000
10	0	water	-10000
11	0	water	-10000
12	0	water	-10000
13	0	water	-10000
14	0	water	-10000
15	0	water	-10000
16	0	water	-10000
17	0	water	-10000
18	0	water	-10000
19	0	water	-10000
20	0	water	-9946
21	0	water	-9946
22	0	water	-10000
23	0	water	-10000
24	0	water	-10000
25	0	water	-10000
26	0	water	-10000
27	0	water	-10000
28	0	water	-10000
29	0	water	-10000
30	0	water	-10000
31	0	water	-10000
32	0	water	-9781
33	0	water	-9067
34	0	water	-6871
35	0	water	-5938
36	0	water	-6926
37	0	water	-6212
38	0	water	-5608
39	0	water	-6981
40	0	water	-6102
41	0	water	-5444
42	0	water	-5389
43	0	water	-5389
44	0	water	-4950
45	0	water	-3906
46	0	water	-3138
47	0	water	-4071
48	0	water	-3467
49	0	water	-3302
50	0	water	-4181
51	0	water	-4620
52	0	water	-5993
53	0	water	-7585
54	0	water	-8079
55	0	water	-8902
56	0	water	-9122
57	0	water	-8628
58	0	water	-6871
59	0	water	-6212
60	0	water	-6706
61	0	water	-8244
62	0	water	-7859
63	0	water	-8628
64	0	water	-9506
65	0	water	-9506
66	0	water	-9891
67	0	water	-10000
68	0	water	-10000
69	0	water	-10000
70	0	water	-9946
71	0	water	-9836
72	0	water	-9836
73	0	water	-9891
74	0	water	-9891
75	0	water	-10000
76	0	water	-10000
77	0	water	-10000
78	0	water	-10000
79	0	water	-10000
80	0	water	-9836
81	0	water	-9891
82	0	water	-9891
83	0	water	-9561
84	0	water	-9836
85	0	water	-8463
86	0	water	-9506
87	0	water	-9616
88	0	water	-9067
89	0	water	-8683
90	0	water	-8573
91	0	water	-9012
92	0	water	-9726
93	0	water	-9836
94	0	water	-9781
95	0	water	-9836
96	0	water	-10000
97	0	water	-10000
98	0	water	-10000
99	0	water	-10000
100	0	water	-10000
101	0	water	-10000
102	0	water	-10000
103	0	water	-10000
104	0	water	-10000
105	0	water	-10000
106	0	water	-10000
107	0	water	-10000
108	0	water	-10000
109	0	water	-10000
110	0	water	-10000
111	0	water	-10000
112	0	water	-10000
113	0	water	-10000
114	0	water	-10000
115	0	water	-10000
116	0	water	-10000
117	0	water	-10000
118	0	water	-10000
119	0	water	-10000
120	0	water	-10000
121	0	water	-10000
122	0	water	-10000
123	0	water	-10000
124	0	water	-10000
125	0	water	-10000
126	0	water	-10000
127	0	water	-10000
128	0	water	-10000
129	0	water	-10000
130	0	water	-10000
131	0	water	-10000
132	0	water	-10000
133	0	water	-10000
134	0	water	-10000
135	0	water	-10000
136	0	water	-10000
137	0	water	-10000
138	0	water	-10000
139	0	water	-10000
140	0	water	-10000
141	0	water	-10000
142	0	water	-10000
143	0	water	-10000
144	0	water	-10000
145	0	water	-10000
146	0	water	-10000
147	0	water	-10000
148	0	water	-10000
149	0	water	-10000
150	0	water	-10000
151	0	water	-10000
152	0	water	-10000
153	0	water	-10000
154	0	water	-10000
155	0	water	-10000
156	0	water	-10000
157	0	water	-10000
158	0	water	-10000
159	0	water	-10000
160	0	water	-10000
161	0	water	-10000
162	0	water	-10000
163	0	water	-10000
164	0	water	-10000
165	0	water	-10000
166	0	water	-10000
167	0	water	-10000
168	0	water	-10000
169	0	water	-10000
170	0	water	-10000
171	0	water	-10000
172	0	water	-10000
173	0	water	-10000
174	0	water	-10000
175	0	water	-10000
176	0	water	-10000
177	0	water	-10000
178	0	water	-10000
179	0	water	-10000
180	0	water	-10000
181	0	water	-10000
182	0	water	-10000
183	0	water	-10000
184	0	water	-10000
185	0	water	-10000
186	0	water	-10000
187	0	water	-10000
188	0	water	-10000
189	0	water	-10000
190	0	water	-10000
191	0	water	-10000
192	0	water	-10000
193	0	water	-10000
194	0	water	-10000
195	0	water	-10000
196	0	water	-10000
197	0	water	-10000
198	0	water	-10000
199	0	water	-10000
0	1	water	-10000
1	1	water	-10000
2	1	water	-10000
3	1	water	-10000
4	1	water	-10000
5	1	water	-10000
6	1	water	-10000
7	1	water	-10000
8	1	water	-10000
9	1	water	-10000
10	1	water	-10000
11	1	water	-10000
12	1	water	-10000
13	1	water	-10000
14	1	water	-10000
15	1	water	-10000
16	1	water	-10000
17	1	water	-10000
18	1	water	-10000
19	1	water	-9836
20	1	water	-9891
21	1	water	-9946
22	1	water	-10000
23	1	water	-10000
24	1	water	-10000
25	1	water	-10000
26	1	water	-10000
27	1	water	-10000
28	1	water	-10000
29	1	water	-10000
