[Terrain]
datatype	ground_area_text_storage	version	1.0.0
# ground size in meter
width	20000
length	20000
# array size
array_width	200
array_length	200
#positionX	positionY	Altitude
0	0	ground	4000
1	0	water	-2973
2	0	water	-1765
3	0	water	-777
4	0	water	-2479
5	0	water	-393
6	0	water	-2863
7	0	water	-6102
8	0	water	-6322
9	0	water	-6048
10	0	water	-6651
11	0	water	-7640
12	0	water	-3906
13	0	water	-2204
14	0	water	-448
15	0	ground	486
16	0	water	-3412
17	0	water	-283
18	0	ground	486
19	0	ground	596
20	0	ground	760
21	0	water	-63
22	0	water	-8
23	0	water	-1106
24	0	water	-1765
25	0	water	-2204
26	0	water	-63
27	0	water	-338
28	0	water	-612
29	0	ground	705
30	0	water	-997
31	0	water	-777
32	0	water	-338
33	0	ground	870
34	0	water	-118
35	0	water	-283
36	0	water	-173
37	0	ground	760
38	0	water	-338
39	0	water	-1546
40	0	water	-612
41	0	water	-1106
42	0	water	-448
43	0	water	-1381
44	0	water	-3028
45	0	water	-2150
46	0	water	-1930
47	0	water	-997
48	0	water	-1271
49	0	water	-1216
50	0	water	-1106
51	0	water	-832
52	0	water	-1271
53	0	water	-1710
54	0	water	-722
55	0	water	-1106
56	0	water	-2369
57	0	water	-2479
58	0	water	-667
59	0	water	-1271
60	0	water	-393
61	0	ground	266
62	0	water	-118
63	0	ground	321
64	0	water	-2918
65	0	water	-2753
66	0	water	-3742
67	0	water	-4291
68	0	water	-6212
69	0	water	-3248
70	0	water	-5938
71	0	water	-6597
72	0	water	-8683
73	0	water	-8848
74	0	water	-8902
75	0	water	-8683
76	0	water	-9287
77	0	water	-9397
78	0	water	-8463
79	0	water	-9342
80	0	water	-9232
81	0	water	-6487
82	0	water	-6157
83	0	water	-8573
84	0	water	-7695
85	0	water	-9287
86	0	water	-8957
87	0	water	-9232
88	0	water	-8738
89	0	water	-8573
90	0	water	-8079
91	0	water	-8518
92	0	water	-9342
93	0	water	-9232
94	0	water	-8024
95	0	water	-6322
96	0	water	-7200
97	0	water	-5224
98	0	water	-3083
99	0	water	-4400
100	0	water	-6377
101	0	water	-6377
102	0	water	-3412
103	0	water	-5279
104	0	water	-3687
105	0	water	-5499
106	0	water	-5718
107	0	water	-6926
108	0	water	-8244
109	0	water	-8079
110	0	water	-8957
111	0	water	-9616
112	0	water	-8518
113	0	water	-8079
114	0	water	-7804
115	0	water	-7585
116	0	water	-8848
117	0	water	-7804
118	0	water	-8793
119	0	water	-8628
120	0	water	-9342
121	0	water	-9671
122	0	water	-8848
123	0	water	-6432
124	0	water	-5718
125	0	water	-4346
126	0	water	-3357
127	0	water	-63
128	0	ground	321
129	0	water	-612
130	0	ground	156
131	0	water	-997
132	0	water	-1710
133	0	water	-1546
134	0	ground	486
135	0	water	-338
136	0	water	-2259
137	0	water	-3577
138	0	water	-5499
139	0	water	-5938
140	0	water	-5499
141	0	water	-4675
142	0	water	-4346
143	0	water	-3193
144	0	water	-3248
145	0	water	-4840
146	0	water	-5169
147	0	water	-9012
148	0	water	-8628
149	0	water	-8573
150	0	water	-9012
151	0	water	-8738
152	0	water	-8738
153	0	water	-7750
154	0	water	-8573
155	0	water	-8848
156	0	water	-9342
157	0	water	-7310
158	0	water	-6432
159	0	water	-4016
160	0	water	-5608
161	0	water	-7475
162	0	water	-6597
163	0	water	-6926
164	0	water	-5553
165	0	water	-3467
166	0	water	-4071
167	0	water	-5444
168	0	water	-5553
169	0	water	-7914
170	0	water	-8299
171	0	water	-8299
172	0	water	-6871
173	0	water	-7310
174	0	water	-8848
175	0	water	-9342
176	0	water	-6597
177	0	water	-5883
178	0	water	-6542
179	0	water	-8244
180	0	water	-7914
181	0	water	-8738
182	0	water	-9342
183	0	water	-8902
184	0	water	-9561
185	0	water	-9506
186	0	water	-8573
187	0	water	-8024
188	0	water	-4840
189	0	water	-4181
190	0	water	-2534
191	0	water	-2369
192	0	water	-667
193	0	water	-2644
194	0	water	-4620
195	0	water	-6322
196	0	water	-6432
197	0	water	-3961
198	0	water	-2259
199	0	water	-2204
0	1	water	-3138
1	1	water	-2424
2	1	water	-1875
3	1	water	-1161
4	1	water	-1600
5	1	water	-1271
6	1	water	-1820
7	1	water	-3632
8	1	water	-3302
9	1	water	-4346
10	1	water	-5004
11	1	water	-5169
12	1	water	-2918
13	1	water	-2314
14	1	ground	101
15	1	water	-777
16	1	water	-3193
17	1	water	-63
18	1	water	-612
19	1	water	-338
20	1	water	-502
21	1	water	-8
22	1	ground	870
23	1	water	-228
24	1	water	-3632
25	1	water	-4565
26	1	water	-4455
27	1	water	-1326
28	1	ground	486
29	1	ground	266
30	1	water	-1106
31	1	ground	156
32	1	ground	486
33	1	ground	705
34	1	ground	596
