[Terrain]
datatype	ground_area_text_storage	version	1.0.0
# ground size in meter
width	20000
length	20000
# array size
array_width	200
array_length	200
#positionX	positionY	Altitude
0	0	ground	4000
1	0	ground	1584
2	0	ground	1584
3	0	ground	1968
4	0	ground	2133
5	0	ground	1584
6	0	ground	1145
7	0	ground	760
8	0	ground	486
9	0	ground	980
10	0	ground	870
11	0	ground	1035
12	0	ground	1254
13	0	ground	1145
14	0	ground	815
15	0	ground	47
16	0	water	-118
17	0	water	-283
18	0	water	-63
19	0	water	-393
20	0	water	-832
21	0	water	-667
22	0	water	-1216
23	0	water	-887
24	0	water	-393
25	0	water	-612
26	0	water	-1106
27	0	water	-1491
28	0	water	-1875
29	0	water	-2369
30	0	water	-1930
31	0	water	-1820
32	0	water	-1930
33	0	water	-1930
34	0	water	-1546
35	0	water	-1820
36	0	water	-1820
37	0	water	-1600
38	0	water	-1271
39	0	water	-1216
40	0	water	-1051
41	0	water	-777
42	0	water	-228
43	0	water	-63
44	0	ground	101
45	0	ground	47
46	0	ground	266
47	0	water	-338
48	0	ground	101
49	0	ground	266
50	0	water	-283
51	0	water	-887
52	0	water	-777
53	0	water	-1326
54	0	water	-1765
55	0	water	-2040
56	0	water	-2204
57	0	water	-2479
58	0	water	-2424
59	0	water	-2973
60	0	water	-2918
61	0	water	-3138
62	0	water	-3522
63	0	water	-3961
64	0	water	-4510
65	0	water	-4291
66	0	water	-3632
67	0	water	-3522
68	0	water	-4181
69	0	water	-4675
70	0	water	-5059
71	0	water	-4565
72	0	water	-4730
73	0	water	-4455
74	0	water	-4730
75	0	water	-4565
76	0	water	-4950
77	0	water	-4510
78	0	water	-4510
79	0	water	-4675
80	0	water	-4950
81	0	water	-5334
82	0	water	-5608
83	0	water	-6157
84	0	water	-5828
85	0	water	-5883
86	0	water	-6267
87	0	water	-6322
88	0	water	-6377
89	0	water	-6597
90	0	water	-6651
91	0	water	-6706
92	0	water	-6651
93	0	water	-7200
94	0	water	-7310
95	0	water	-7255
96	0	water	-7750
97	0	water	-8518
98	0	water	-8518
99	0	water	-8244
100	0	water	-8244
101	0	water	-8353
102	0	water	-8024
103	0	water	-8189
104	0	water	-8244
105	0	water	-8134
106	0	water	-8079
107	0	water	-7859
108	0	water	-8408
109	0	water	-8518
110	0	water	-8628
111	0	water	-8902
112	0	water	-8408
113	0	water	-8079
114	0	water	-8353
115	0	water	-8463
116	0	water	-8189
117	0	water	-7914
118	0	water	-7640
119	0	water	-7420
120	0	water	-7585
121	0	water	-7695
122	0	water	-7036
123	0	water	-7036
124	0	water	-7146
125	0	water	-7804
126	0	water	-7859
127	0	water	-7969
128	0	water	-8518
129	0	water	-8189
130	0	water	-8957
131	0	water	-9232
132	0	water	-9397
133	0	water	-9781
134	0	water	-9561
135	0	water	-9397
136	0	water	-9891
137	0	water	-9616
138	0	water	-8957
139	0	water	-9671
140	0	water	-9891
141	0	water	-9671
142	0	water	-9397
143	0	water	-9451
144	0	water	-9726
145	0	water	-9836
146	0	water	-9726
147	0	water	-10000
148	0	water	-10000
149	0	water	-10000
150	0	water	-10000
151	0	water	-10000
152	0	water	-10000
153	0	water	-10000
154	0	water	-10000
155	0	water	-10000
156	0	water	-10000
157	0	water	-10000
158	0	water	-10000
159	0	water	-10000
160	0	water	-10000
161	0	water	-10000
162	0	water	-10000
163	0	water	-10000
164	0	water	-10000
165	0	water	-10000
166	0	water	-10000
167	0	water	-10000
168	0	water	-10000
169	0	water	-10000
170	0	water	-10000
171	0	water	-10000
172	0	water	-10000
173	0	water	-10000
174	0	water	-10000
175	0	water	-10000
176	0	water	-10000
177	0	water	-10000
178	0	water	-10000
179	0	water	-10000
180	0	water	-10000
181	0	water	-10000
182	0	water	-10000
183	0	water	-10000
184	0	water	-10000
185	0	water	-10000
186	0	water	-10000
187	0	water	-10000
188	0	water	-10000
189	0	water	-10000
190	0	water	-10000
191	0	water	-10000
192	0	water	-10000
193	0	water	-10000
194	0	water	-10000
195	0	water	-9726
196	0	water	-9836
197	0	water	-10000
198	0	water	-9891
199	0	water	-10000
0	1	water	-10000
1	1	ground	1254
2	1	ground	1200
3	1	ground	1639
4	1	ground	1474
5	1	ground	1254
6	1	ground	1090
7	1	ground	980
8	1	ground	1145
9	1	ground	1145
10	1	ground	980
11	1	ground	1419
12	1	ground	1529
13	1	ground	1364
14	1	ground	1035
15	1	water	-8
16	1	water	-448
17	1	water	-393
18	1	water	-448
19	1	water	-887
20	1	water	-1051
21	1	water	-777
22	1	water	-997
23	1	water	-1216
24	1	water	-942
25	1	water	-777
26	1	water	-1381
27	1	water	-1710
28	1	water	-1985
29	1	water	-2424
30	1	water	-2040
31	1	water	-2095
32	1	water	-2150
